Date,Adj Dividends
2013-06-03,0.004919315049593198
2013-07-01,0.00492188568251975
2013-08-01,0.004924417364503221
2013-08-07,0.09195789260387613
2013-09-02,0.004974967636559815
2013-10-01,0.004977342760455943
2013-11-01,0.004979503045916845
2013-12-02,0.004981768517599277
2013-12-23,0.06806242230610142
2014-01-02,0.0050166913512725946
2014-02-03,0.005019180480106207
2014-02-19,0.17821546051470372
2014-03-05,0.00510783846614919
2014-04-01,0.005110102109398721
2014-05-02,0.005112186803847637
2014-06-02,0.005114391043439285
2014-07-01,0.005628272724192311
2014-08-01,0.005630676760119156
2014-08-14,0.12336489556814971
2014-09-01,0.005685754738785954
2014-10-01,0.005688278600232708
2014-11-03,0.005690601559397145
2014-12-01,0.005692806234574105
2015-01-02,0.005695275882993771
2015-02-02,0.005697872955741566
2015-02-11,0.32868370778374845
2015-03-02,0.0058415344855572635
2015-04-01,0.00584401484663773
2015-05-04,0.005846288866240539
2015-06-01,0.005848847145436398
2015-07-01,0.005851413356192196
2015-08-03,0.006440187899892385
2015-08-13,0.15043268460017306
2015-09-01,0.006525397159452228
2015-10-01,0.006529090602728352
2015-11-03,0.006532792018036068
2015-12-01,0.00653632219456385
2015-12-10,0.09172974530154927
2016-01-04,0.0065872764390145855
2016-02-01,0.006591237291149251
2016-02-19,0.2953961464579052
2016-03-01,0.006775068088256381
2016-04-01,0.006778328948682821
2016-05-02,0.0067814252659197756
2016-06-01,0.006784927291151601
2016-07-01,0.006788285321618683
2016-08-01,0.0067913004443066645
2016-08-15,0.18267470264215546
2016-09-01,0.0068704175497937585
2016-10-03,0.0068733236708070486
2016-11-01,0.007563530457952639
2016-12-01,0.0075667397102206916
2016-12-23,0.24134753540835488
2017-01-02,0.0076830960894175085
2017-02-01,0.007686195214395342
2017-02-21,0.404976413466068
2017-03-01,0.007837148997420926
2017-04-03,0.007840249304129708
2017-05-02,0.007843248093187195
2017-06-01,0.007846559422420305
2017-07-03,0.007849762958686689
2017-08-01,0.007852919636835856
2017-08-15,0.21099432915418498
2017-09-01,0.007935067422667792
2017-10-02,0.00793781476771572
2017-11-01,0.007940647030067116
2017-12-01,0.007943537158499636
2017-12-15,0.07679254107465286
2018-01-02,0.007974376760877217
2018-02-01,0.007976668740377215
2018-02-16,1.1703780113351223
2018-03-01,0.008312457736797087
2018-04-02,0.00831488884211121
2018-05-02,0.008317337258319938
2018-06-01,0.008320237395698673
2018-07-02,0.008323330624992777
2018-08-01,0.008326110637484275
2018-08-20,0.3514688542023201
2018-09-03,0.008451771235439389
2018-10-01,0.00845464488257639
2018-11-01,0.008457222204335257
2018-12-03,0.012691113386218308
2018-12-18,0.008971138175573184
2018-12-28,0.00897391225250674
2019-01-02,0.012704298174059069
2019-02-01,0.012709216381003417
2019-02-22,0.9155877525481001
2019-03-01,0.013076673224865562
2019-04-01,0.013082377583784588
2019-05-02,0.013088174416381592
2019-06-03,0.01309378810075498
2019-07-01,0.013099206388644891
2019-08-01,0.0131048495977999
2019-08-16,0.4860183932605457
2019-09-02,0.013319033722379314
2019-10-01,0.01332473818826188
2019-11-01,0.01333026286046267
2019-12-02,0.013336006126438621
2019-12-13,0.03342863435418943
2020-01-02,0.013355493284607922
2020-02-03,0.01336160354328545
2020-02-21,0.4366270432151034
2020-03-02,0.013560590418947223
2020-04-01,0.013569405610439365
2020-05-04,0.013578351252593959
2020-06-01,0.01358719517690699
2020-07-01,0.013595209251853837
2020-08-03,0.013602793049112757
2020-08-18,0.0480778808774213
2020-09-01,0.013641358511797898
2020-10-01,0.01365046363307898
2020-11-03,0.013659183550086624
2020-12-01,0.013666365166672138
2020-12-11,0.05839175632932026
2021-01-04,0.013700623357342264
2021-01-26,0.0458935300249758
2021-02-01,0.013731406876227962
2021-02-26,0.13532062467550812
2021-03-01,0.0138175612981182
2021-03-26,0.04673368949858814
2021-04-01,0.013850342812480534
2021-04-28,0.05226010865058697
2021-05-03,0.01388684466080812
2021-05-25,0.04519804900465341
2021-06-01,0.013917009329739622
2021-07-01,0.013924019300646127
2021-08-02,0.013930916356782496
2021-08-16,0.09676553721536406
2021-09-01,0.013984851746013128
2021-10-01,0.013992109928080677
2021-11-01,0.01647652513278399
2021-11-22,0.24992970428265884
2021-12-01,0.016687672759051985
2022-01-03,0.016701746230414982
2022-02-01,0.01671339485162526
2022-02-22,0.01294204948795652
2022-03-02,0.016733935430878272
2022-03-03,0.01674553892080155
2022-04-01,0.016756301169092474
2022-05-02,0.016768700589631733
2022-06-01,0.016780022081000167
2022-07-01,0.016793097034127184
2022-08-01,0.01680565421613048
2022-08-19,0.29515496151938364
2022-09-01,0.017008319145956446
2022-10-03,0.017019025010822197
2022-11-01,0.017028911624006594
2022-12-01,0.01704047837670092
2022-12-09,0.478680794473032
2023-01-02,0.017390029858690308
2023-02-01,0.01740215743048218
2023-03-01,0.01741424069595337
2023-03-24,0.2614594486743721
2023-04-03,0.017626158722198686
2023-05-02,0.01763816868177925
