Date,Adj Dividends
2014-04-03,0.21478117201312535
2018-05-22,0.01999240953097143
2018-08-14,0.020037129891040353
2018-11-22,0.040221167298762336
2018-12-26,0.020630070922718315
2019-05-22,0.04044693480394751
2019-08-13,0.08147897564187469
2019-11-12,0.0823551404320602
2020-04-23,0.09709079117054337
2020-04-28,0.09846016125618803
2020-07-23,0.1021242036858302
2021-04-15,0.3489836567344178
2021-08-17,0.7497646465929393
2021-12-02,1.6953865371884198
2022-04-14,1.6823299376739391
2022-05-24,2.325651792791753
2022-08-12,5.093994939007224
2022-11-22,2.8491686225354864
2023-04-28,2.711467268889313
