Date,Adj Dividends
2018-05-04,0.08710373939481114
2018-08-02,0.05438584518205581
2018-11-13,0.17207734696885876
2019-05-22,0.0408276497142865
2019-08-22,0.21539801449807497
2020-05-22,0.005497735292728724
2020-08-24,0.22361528497285182
2021-04-14,0.3581199588834073
2021-04-19,0.36411720334036873
2021-06-21,0.08427494531882457
2021-11-16,0.3309985315451062
2022-04-27,0.01916482265598624
2022-06-20,0.12346306800419735
2022-09-19,0.12702977159689371
2022-12-07,0.07232970651413761
2023-04-14,0.062854
