Date,Adj Dividends
2013-10-18,0.06964290775255912
2014-04-15,0.5337133108399356
2014-10-17,0.6104073749846578
2015-04-15,0.38299571011311084
2015-10-16,0.24256444672082558
2016-12-02,0.10859987484145042
2017-04-24,0.6111220051501887
2017-12-22,0.2864031029500389
2018-03-07,0.3369765740587668
2018-08-03,1.0505921851969855
2019-12-27,1.030352118668403
2020-09-22,1.8271659048193132
2021-03-05,3.3800589413048234
2021-06-24,1.770999539237613
2021-09-23,7.318603576037437
2022-03-09,3.4482627719725585
2022-08-12,3.4834410489473733
2022-12-13,0.28573790164492435
2023-03-14,1.827646
