Date,Adj Dividends
2013-06-20,0.014320739406004914
2013-09-19,0.01481990585546785
2013-12-19,0.015021181971045319
2014-03-19,0.017371797157345797
2014-04-22,0.10662229530977486
2014-06-18,0.018034195924149055
2014-09-18,0.018528458456069336
2014-12-18,0.018754101398960003
2015-03-19,0.02399282390784645
2015-04-17,0.11867435111947372
2015-06-19,0.027079053423001882
2015-09-24,0.030353271532510846
2015-12-18,0.03326289639243006
2016-03-16,0.04162998058714529
2016-04-22,0.12264671749953894
2016-06-23,0.0424268160829151
2016-09-27,0.04626599137054007
2016-12-16,0.048256858316622714
2017-03-22,0.04982041400073423
2017-04-20,0.08001495569897038
2017-06-26,0.047745127038819876
2017-09-25,0.052019247724123356
2017-12-20,0.05500698046816271
2018-03-21,0.054123517100421695
2018-04-20,0.10068127681611776
2018-06-25,0.054659530183695675
2018-09-25,0.05960597628997773
2018-12-27,0.06719156825162229
2019-03-22,0.06980229277806774
2019-04-18,0.23444224968624366
2019-04-22,0.1932590308230448
2019-06-26,0.06504043752799951
2019-09-25,0.0659213004496539
2019-12-26,0.06490416116612956
2020-03-20,0.06195963530727847
2020-04-17,0.3545214972938587
2020-04-30,0.016854295482164383
2020-06-24,0.06015675600948006
2020-09-23,0.07114878430793345
2020-12-21,0.06520237743813803
2021-03-19,0.06295255185013077
2021-04-26,0.03365086033565691
2021-04-30,0.037055660587833154
2021-06-28,0.08523682077919768
2021-09-22,0.1111901695923116
2021-12-22,0.12401013207753293
2022-03-23,0.13925446676184203
2022-06-29,0.16003196000649011
2022-09-28,0.17130610945668728
2022-12-23,0.18214234736629403
2023-03-22,0.182327
