Date,Adj Dividends
2013-08-08,0.13112033226592454
2014-02-27,0.1419371527786255
2014-08-14,0.14280076120301863
2015-03-05,0.14359840899177903
2015-08-13,0.16268507540038965
2016-02-25,0.1636529761643342
2016-08-18,0.16441962456980969
2017-03-02,0.17992674091494362
2017-08-17,0.1767514658197602
2018-03-02,0.18820025130215276
2018-08-10,0.11779831206900944
2019-03-01,0.14814264507300692
2019-08-23,0.08511036365886607
2020-02-28,0.10272558345485017
2021-03-05,0.19032415765799007
2021-08-20,0.19024697062590012
2022-03-04,0.16406052479864575
2022-05-24,0.40946146149502965
2023-02-24,0.1
