Date,Adj Dividends
2013-12-19,0.033039045718553
2014-04-14,0.0342303319695835
2014-04-30,0.41947294989888667
2014-12-30,0.16907009389711544
2015-04-13,0.0812463633037871
2015-12-22,0.018783639670736322
2016-04-14,0.38970792129654147
2016-12-29,0.36955633580339736
2017-12-27,0.08214614109063866
2018-04-05,0.3452862625450384
2018-04-10,0.35822231838024693
2019-01-02,0.5616403847655441
2019-04-17,0.04774659005023357
2020-01-02,0.3092034692184746
2020-04-01,0.15579397344663065
2021-01-05,0.22059416989562808
2021-04-12,0.6155360355783414
2022-01-05,0.6930184062294662
2022-04-06,1.3094696724102872
2023-01-03,1.1367669956225601
2023-04-12,0.269367
